company,location,industry,total_laid_off,percentage_laid_off,date,stage,country,funds_raised_millions
ThoughtSpot,SF Bay Area,Data,,,2020-05-06,Series E,United States,743
Tuft & Needle,Phoenix,Retail,,,2020-03-19,Acquired,United States,0
Help Scout,Boston,Support,,,2022-11-01,Series B,United States,28
Oyster,Charlotte,HR,,,2023-01-11,Series C,United States,224
Oyster,Charlotte,HR,,,2023-01-30,Series C,United States,224
Microsoft,Seattle,Other,,,2022-10-17,Post-IPO,United States,1
Microsoft,Seattle,Other,,,2022-07-12,Post-IPO,United States,1
Provi,Chicago,Food,,,2022-11-03,Series C,United States,150
Lytics,Portland,Marketing,,,2020-04-08,Series C,United States,58
Zenjob,Berlin,HR,,,2022-09-29,Series D,Germany,107
Akerna,Denver,Logistics,,,2022-05-27,Unknown,United States,46
Akerna,Denver,Logistics,,,2020-09-02,Post-IPO,United States,
Cosuno,Berlin,Construction,,,2022-07-14,Series B,Germany,45
Zappos,Las Vegas,Retail,,,2023-01-20,Acquired,United States,62
Quora,SF Bay Area,Consumer,,,2023-01-26,Series D,United States,226
Zywave,Milwaukee,Finance,,,2022-12-07,Acquired,United States,
OnlyFans,London,Media,,,2022-08-01,Unknown,United Kingdom,
Keepe,Seattle,Real Estate,,,2022-06-10,Unknown,United States,6
Flipkart,Bengaluru,Retail,,,2023-03-02,Acquired,India,12900
Accolade,Seattle,Healthcare,,,2023-03-03,Post-IPO,United States,458
Ledn,Toronto,Crypto,,,2022-11-28,Series B,Canada,103
Typeform,Barcelona,Marketing,,,2022-11-15,Series C,Spain,187
Bybit,Singapore,Crypto,,,2022-06-20,Unknown,Singapore,
Influitive,Toronto,Marketing,,,2020-04-17,Unknown,Canada,59
Otonomo,Tel Aviv,Transportation,,,2022-08-28,Post-IPO,Israel,231
Tempo,SF Bay Area,Fitness,,,2022-10-03,Series C,United States,298
Arch Oncology,St. Louis,Healthcare,,,2023-02-22,Series C,United States,155
Remesh,New York City,Support,,,2022-07-01,Series A,United States,38
Icon,Austin,Construction,,,2023-01-24,Series B,United States,451
GSR,Hong Kong,Crypto,,,2022-10-11,Unknown,Hong Kong,
Thinkific,Vancouver,Education,,,2022-12-05,Post-IPO,Canada,22
Moove,Lagos,Transportation,,,2022-12-06,Unknown,Nigeria,630
Candidate Labs,SF Bay Area,HR,,,2022-09-21,Seed,United States,5
Tripwire,Portland,Security,,,2022-05-12,Acquired,United States,29
CoinFLEX,Victoria,Crypto,,,2022-07-29,Unknown,Seychelles,11
Kogan,Melbourne,Retail,,,2022-08-23,Post-IPO,Australia,
Inspectify,Seattle,Real Estate,,,2022-11-28,Series A,United States,11
Observe.AI,SF Bay Area,Support,,,2023-02-15,Series C,United States,214
Divvy Homes,SF Bay Area,Real Estate,,,2023-02-15,Series B,United States,180
Zulily,Seattle,Retail,,,2022-05-16,Acquired,United States,194
PeerStreet,Los Angeles,Real Estate,,,2023-02-21,Series C,United States,121
Caribou,Washington D.C.,Finance,,,2022-12-12,Series C,United States,189
Shopee,Jakarta,Food,,,2022-11-14,Unknown,Indonesia,
Shopee,Jakarta,Food,,,2022-09-18,Unknown,Indonesia,
Mindgeek,Luxembourg,Media,,,2022-06-22,Unknown,Luxembourg,
Slync,Dallas,Logistics,,,2022-08-05,Series B,United States,76
Cohesity,SF Bay Area,Data,,,2020-04-30,Series E,United States,660
Ada,Toronto,Support,,,2023-02-01,Series C,Canada,190
Snagajob,Richmond,HR,,,2022-08-31,Unknown,United States,221
Signicat,Trondheim,Security,,,2022-11-02,Acquired,Norway,8
Perkbox,London,HR,,,2020-07-27,Unknown,United Kingdom,29.7
Adara,SF Bay Area,Travel,,,2020-03-31,Series C,United States,67
Snap Finance,Salt Lake City,Finance,,,2020-03-31,Unknown,United States,
Convene,New York City,Real Estate,,,2022-12-10,Unknown,United States,281
C6 Bank,Sao Paulo,Finance,,,2023-02-06,Unknown,Brazil,2300
Coda,SF Bay Area,Other,,,2023-01-18,Series D,United States,240
Quillt,St. Louis,Media,,,2023-02-09,Unknown,United States,
Modsy,SF Bay Area,Retail,,,2020-04-02,Series C,United States,70
Modsy,SF Bay Area,Retail,,,2022-06-29,Series C,United States,72
Flynote,Bengaluru,Travel,,,2020-05-01,Seed,India,1
Foodpanda,Singapore,Food,,,2023-02-13,Acquired,Singapore,749
Liongard,Houston,Infrastructure,,,2022-06-10,Series B,United States,22
Clever Real Estate,St. Louis,Real Estate,,,2022-10-19,Series B,United States,13
Clever Real Estate,St. Louis,Real Estate,,,2020-03-25,Series A,United States,5
BUX,Amsterdam,Finance,,,2023-01-22,Series C,Netherlands,115
XP,Sao Paulo,Finance,,,2023-01-17,Post-IPO,Brazil,
Landing,Birmingham,Real Estate,,,2022-12-14,Series C,United States,347
Noom,New York City,Fitness,,,2023-01-25,Series F,United States,657
AirMap,Los Angeles,Aerospace,,,2020-04-30,Unknown,United States,75
Hired,SF Bay Area,Recruiting,,,2020-06-30,Series D,United States,132
Chef,Seattle,Infrastructure,,,2020-10-08,Acquired,United States,105
Esme Learning,Boston,Education,,,2022-06-02,Unknown,United States,37
Open Co,Sao Paulo,Finance,,,2023-02-10,Series D,Brazil,140
Nextbite,Denver,Food,,,2022-07-09,Series C,United States,150
Ruangguru,Jakarta,Education,,,2022-11-18,Unknown,Indonesia,205
Route,Lehi,Retail,,,2022-12-05,Unknown,United States,481
tZero,New York City,Finance,,,2020-07-30,Acquired,United States,472
Decent,SF Bay Area,Healthcare,,,2023-01-27,Series A,United States,18
Classkick,Chicago,Education,,,2022-08-01,Seed,United States,1
FloQast,Los Angeles,Finance,,,2020-04-10,Series C,United States,119
Zalando,Berlin,Retail,,,2023-02-21,Post-IPO,Germany,467
Zilch,London,Finance,,,2022-11-26,Unknown,United Kingdom,389
Beat,Athens,Transportation,,,2022-11-08,Series B,Greece,6
Religion of Sports,Los Angeles,Media,,,2023-02-15,Series B,United States,63
Whereby,Oslo,Other,,,2022-08-01,Series A,Norway,10
Sama,SF Bay Area,Data,,,2022-09-12,Series B,United States,84
Skillshare,New York City,Education,,,2022-08-23,Unknown,United States,136
Mapbox,Washington D.C.,Data,,,2020-04-06,Series C,United States,227
Kavak,Sao Paulo,Transportation,,,2022-11-18,Series E,Brazil,1600
Infogrid,London,Other,,,2022-11-16,Series A,United Kingdom,15
Elemy,SF Bay Area,Healthcare,,,2022-12-05,Series B,United States,323
Elemy,SF Bay Area,Healthcare,,,2022-07-18,Series B,United States,323
Crypto.com,Singapore,Crypto,,,2022-08-16,Unknown,Singapore,156
Green Labs,Seoul,Food,,,2023-02-21,Series C,South Korea,214
GoCardless,London,Finance,,,2020-04-24,Series E,United Kingdom,122
